# gravestone model catalogue
# repository	file	quantisation	bytes	downloads
library/gemma3	gemma3:12b-it-qat	Q4_0	8928674496	40000000
library/gemma3	gemma3:1b	Q4_K_M	815310432	40000000
library/gemma3	gemma3:1b-it-fp16	F16	2015825760	40000000
library/gemma3	gemma3:1b-it-q8_0	Q8_0	1078558560	40000000
library/gemma3	gemma3:1b-it-qat	Q4_0	1003539136	40000000
library/gemma3	gemma3:270m	Q8_0	291545472	40000000
library/gemma3	gemma3:270m-it-bf16	BF16	542835072	40000000
library/gemma3	gemma3:270m-it-fp16	F16	542835072	40000000
library/gemma3	gemma3:270m-it-qat	Q4_0	241410464	40000000
library/gemma3	gemma3:27b	Q4_K_M	17396927584	40000000
library/gemma3	gemma3:27b-it-fp16	F16	54883474528	40000000
library/gemma3	gemma3:27b-it-q8_0	Q8_0	29563804768	40000000
library/gemma3	gemma3:27b-it-qat	Q4_0	18087370048	40000000
library/gemma3	gemma3:4b	Q4_K_M	3338792448	40000000
library/gemma3	gemma3:4b-it-fp16	F16	8617184768	40000000
library/gemma3	gemma3:4b-it-q8_0	Q8_0	4979936768	40000000
library/gemma3	gemma3:4b-it-qat	Q4_0	4006630016	40000000
library/qwen2.5	qwen2.5:0.5b	Q4_K_M	397807936	39100000
library/qwen2.5	qwen2.5:0.5b-base	Q4_K_M	397807520	39100000
library/qwen2.5	qwen2.5:0.5b-base-q2_K	Q2_K	338607008	39100000
library/qwen2.5	qwen2.5:0.5b-base-q3_K_L	Q3_K_L	369357728	39100000
library/qwen2.5	qwen2.5:0.5b-base-q3_K_M	Q3_K_M	355466144	39100000
library/qwen2.5	qwen2.5:0.5b-base-q3_K_S	Q3_K_S	338262944	39100000
library/qwen2.5	qwen2.5:0.5b-base-q4_0	Q4_0	352154528	39100000
library/qwen2.5	qwen2.5:0.5b-base-q4_1	Q4_1	374518688	39100000
library/qwen2.5	qwen2.5:0.5b-base-q4_K_S	Q4_K_S	385471392	39100000
library/qwen2.5	qwen2.5:0.5b-base-q5_0	Q5_0	396882848	39100000
library/qwen2.5	qwen2.5:0.5b-instruct-q2_K	Q2_K	338607424	39100000
library/qwen2.5	qwen2.5:0.5b-instruct-q3_K_L	Q3_K_L	369358144	39100000
library/qwen2.5	qwen2.5:0.5b-instruct-q3_K_M	Q3_K_M	355466560	39100000
library/qwen2.5	qwen2.5:0.5b-instruct-q3_K_S	Q3_K_S	338263360	39100000
library/qwen2.5	qwen2.5:0.5b-instruct-q4_0	Q4_0	352154944	39100000
library/qwen2.5	qwen2.5:0.5b-instruct-q4_1	Q4_1	374519104	39100000
library/qwen2.5	qwen2.5:0.5b-instruct-q4_K_S	Q4_K_S	385471808	39100000
library/qwen2.5	qwen2.5:0.5b-instruct-q5_0	Q5_0	396883264	39100000
library/qwen2.5	qwen2.5:1.5b	Q4_K_M	986048512	39100000
library/qwen2.5	qwen2.5:14b	Q4_K_M	8988110688	39100000
library/qwen2.5	qwen2.5:32b	Q4_K_M	19851336288	39100000
library/qwen2.5	qwen2.5:3b	Q4_K_M	1929903008	39100000
library/qwen2.5	qwen2.5:72b	Q4_K_M	47415715200	39100000
library/qwen2.5	qwen2.5:7b	Q4_K_M	4683073952	39100000
library/qwen3	qwen3:0.6b	Q4_K_M	522640096	36100000
library/qwen3	qwen3:0.6b-fp16	F16	1509347040	36100000
library/qwen3	qwen3:0.6b-q8_0	Q8_0	832278240	36100000
library/qwen3	qwen3:1.7b	Q4_K_M	1359279776	36100000
library/qwen3	qwen3:1.7b-fp16	F16	4069678752	36100000
library/qwen3	qwen3:1.7b-q8_0	Q8_0	2220088992	36100000
library/qwen3	qwen3:14b	Q4_K_M	9276184896	36100000
library/qwen3	qwen3:14b-q8_0	Q8_0	15895141696	36100000
library/qwen3	qwen3:235b	Q4_K_M	142154073664	36100000
library/qwen3	qwen3:30b	Q4_K_M	18556685856	36100000
library/qwen3	qwen3:30b-instruct	Q4_K_M	18556685856	36100000
library/qwen3	qwen3:32b	Q4_K_M	20201240160	36100000
library/qwen3	qwen3:4b	Q4_K_M	2497280480	36100000
library/qwen3	qwen3:4b-fp16	F16	8051284672	36100000
library/qwen3	qwen3:4b-instruct	Q4_K_M	2497280480	36100000
library/qwen3	qwen3:4b-instruct-2507-fp16	F16	8051284928	36100000
library/qwen3	qwen3:4b-instruct-2507-q8_0	Q8_0	4280404960	36100000
library/qwen3	qwen3:4b-q4_K_M	Q4_K_M	2620774592	36100000
library/qwen3	qwen3:4b-q8_0	Q8_0	4368878272	36100000
library/qwen3	qwen3:4b-thinking-2507-fp16	F16	8051284928	36100000
library/qwen3	qwen3:4b-thinking-2507-q8_0	Q8_0	4280404960	36100000
library/qwen3	qwen3:8b	Q4_K_M	5225374496	36100000
library/qwen3	qwen3:8b-fp16	F16	16388043552	36100000
library/qwen3	qwen3:8b-q8_0	Q8_0	8851075872	36100000
library/mistral	mistral:7b	Q4_K_M	4372811712	33200000
library/mistral	mistral:7b-instruct-q2_K	Q2_K	3084034656	33200000
library/mistral	mistral:7b-instruct-q3_K_L	Q3_K_L	3822961248	33200000
library/mistral	mistral:7b-instruct-q3_K_M	Q3_K_M	3519922784	33200000
library/mistral	mistral:7b-instruct-q3_K_S	Q3_K_S	3165504096	33200000
library/mistral	mistral:7b-instruct-v0.2-q2_K	Q2_K	3084034624	33200000
library/mistral	mistral:7b-instruct-v0.2-q3_K_L	Q3_K_L	3822961216	33200000
library/mistral	mistral:7b-instruct-v0.2-q3_K_M	Q3_K_M	3519922752	33200000
library/mistral	mistral:7b-instruct-v0.2-q3_K_S	Q3_K_S	3165504064	33200000
library/mistral	mistral:7b-instruct-v0.3-q2_K	Q2_K	2722877376	33200000
library/mistral	mistral:7b-instruct-v0.3-q3_K_M	Q3_K_M	3522940864	33200000
library/mistral	mistral:7b-instruct-v0.3-q3_K_S	Q3_K_S	3168522176	33200000
library/mistral	mistral:7b-text-q2_K	Q2_K	3084034112	33200000
library/mistral	mistral:7b-text-q3_K_L	Q3_K_L	3822960704	33200000
library/mistral	mistral:7b-text-q3_K_M	Q3_K_M	3519922240	33200000
library/mistral	mistral:7b-text-q3_K_S	Q3_K_S	3165503552	33200000
library/mistral	mistral:7b-text-v0.2-q2_K	Q2_K	2719242432	33200000
library/mistral	mistral:7b-text-v0.2-q3_K_L	Q3_K_L	3822024896	33200000
library/mistral	mistral:7b-text-v0.2-q3_K_M	Q3_K_M	3518986432	33200000
library/mistral	mistral:7b-text-v0.2-q3_K_S	Q3_K_S	3164567744	33200000
library/mistral	mistral:instruct	Q4_0	4113289152	33200000
library/mistral	mistral:text	Q4_0	4108916928	33200000
library/mistral	mistral:v0.1	Q4_0	4109853280	33200000
library/mistral	mistral:v0.2	Q4_0	4109853248	33200000
library/gemma2	gemma2:27b	Q4_0	15628378336	31600000
library/gemma2	gemma2:2b	Q4_0	1629509152	31600000
library/gemma2	gemma2:2b-instruct-q2_K	Q2_K	1229829664	31600000
library/gemma2	gemma2:2b-instruct-q3_K_L	Q3_K_L	1550435872	31600000
library/gemma2	gemma2:2b-instruct-q3_K_M	Q3_K_M	1461667360	31600000
library/gemma2	gemma2:2b-instruct-q3_K_S	Q3_K_S	1360660000	31600000
library/gemma2	gemma2:2b-instruct-q4_1	Q4_1	1756026400	31600000
library/gemma2	gemma2:2b-instruct-q4_K_M	Q4_K_M	1708582432	31600000
library/gemma2	gemma2:2b-instruct-q4_K_S	Q4_K_S	1638651424	31600000
library/gemma2	gemma2:2b-instruct-q5_0	Q5_0	1882543648	31600000
library/gemma2	gemma2:2b-instruct-q5_K_M	Q5_K_M	1923278368	31600000
library/gemma2	gemma2:2b-instruct-q5_K_S	Q5_K_S	1882543648	31600000
library/gemma2	gemma2:2b-text-q2_K	Q2_K	1229829024	31600000
library/gemma2	gemma2:2b-text-q3_K_L	Q3_K_L	1550435232	31600000
library/gemma2	gemma2:2b-text-q3_K_M	Q3_K_M	1461666720	31600000
library/gemma2	gemma2:2b-text-q3_K_S	Q3_K_S	1360659360	31600000
library/gemma2	gemma2:2b-text-q4_0	Q4_0	1629508512	31600000
library/gemma2	gemma2:2b-text-q4_1	Q4_1	1756025760	31600000
library/gemma2	gemma2:2b-text-q4_K_M	Q4_K_M	1708581792	31600000
library/gemma2	gemma2:2b-text-q4_K_S	Q4_K_S	1638650784	31600000
library/gemma2	gemma2:2b-text-q5_0	Q5_0	1882543008	31600000
library/gemma2	gemma2:2b-text-q5_K_M	Q5_K_M	1923277728	31600000
library/gemma2	gemma2:2b-text-q5_K_S	Q5_K_S	1882543008	31600000
library/gemma2	gemma2:9b	Q4_0	5443143296	31600000
library/llama3	llama3:70b	Q4_0	39969732096	25100000
library/llama3	llama3:8b	Q4_0	4661211424	25100000
library/llama3	llama3:8b-instruct-q2_K	Q2_K	3179131168	25100000
library/llama3	llama3:8b-instruct-q3_K_L	Q3_K_L	4321956128	25100000
library/llama3	llama3:8b-instruct-q3_K_M	Q3_K_M	4018917664	25100000
library/llama3	llama3:8b-instruct-q3_K_S	Q3_K_S	3664498976	25100000
library/llama3	llama3:8b-instruct-q4_1	Q4_1	5130252576	25100000
library/llama3	llama3:8b-instruct-q4_K_M	Q4_K_M	4920733984	25100000
library/llama3	llama3:8b-instruct-q4_K_S	Q4_K_S	4692668704	25100000
library/llama3	llama3:8b-instruct-q5_0	Q5_0	5599293728	25100000
library/llama3	llama3:8b-instruct-q5_K_M	Q5_K_M	5732987168	25100000
library/llama3	llama3:8b-instruct-q5_K_S	Q5_K_S	5599293728	25100000
library/llama3	llama3:8b-text-q2_K	Q2_K	3179130720	25100000
library/llama3	llama3:8b-text-q3_K_L	Q3_K_L	4321955680	25100000
library/llama3	llama3:8b-text-q3_K_M	Q3_K_M	4018917216	25100000
library/llama3	llama3:8b-text-q3_K_S	Q3_K_S	3664498528	25100000
library/llama3	llama3:8b-text-q4_1	Q4_1	5130252128	25100000
library/llama3	llama3:8b-text-q4_K_M	Q4_K_M	4920733536	25100000
library/llama3	llama3:8b-text-q4_K_S	Q4_K_S	4692668256	25100000
library/llama3	llama3:8b-text-q5_0	Q5_0	5599293280	25100000
library/llama3	llama3:8b-text-q5_1	Q5_1	6068334432	25100000
library/llama3	llama3:8b-text-q5_K_M	Q5_K_M	5732986720	25100000
library/llama3	llama3:8b-text-q5_K_S	Q5_K_S	5599293280	25100000
library/llama3	llama3:text	Q4_0	4661210976	25100000
library/gemma4	gemma4:12b	Q4_K_M	7381382048	24000000
library/gemma4	gemma4:12b-it-bf16	BF16	23832064928	24000000
library/gemma4	gemma4:12b-it-q8_0	Q8_0	12669645728	24000000
library/gemma4	gemma4:12b-it-qat	Q4_0	6975877728	24000000
library/gemma4	gemma4:26b	Q4_K_M	16947541728	24000000
library/gemma4	gemma4:26b-a4b-it-bf16	BF16	51698175424	24000000
library/gemma4	gemma4:26b-a4b-it-q4_K_M	Q4_K_M	17987569344	24000000
library/gemma4	gemma4:26b-a4b-it-q8_0	Q8_0	28052899520	24000000
library/gemma4	gemma4:26b-a4b-it-qat	Q4_0	14439361440	24000000
library/gemma4	gemma4:31b	Q4_K_M	19868969920	24000000
library/gemma4	gemma4:31b-it-bf16	BF16	62612126592	24000000
library/gemma4	gemma4:31b-it-q8_0	Q8_0	33834613696	24000000
library/gemma4	gemma4:31b-it-qat	Q4_0	17650999456	24000000
library/gemma4	gemma4:e2b	Q4_K_M	7162394016	24000000
library/gemma4	gemma4:e2b-it-bf16	BF16	10294841696	24000000
library/gemma4	gemma4:e2b-it-q8_0	Q8_0	8140140960	24000000
library/gemma4	gemma4:e2b-it-qat	Q4_0	3349514112	24000000
library/gemma4	gemma4:e4b	Q4_K_M	9608338848	24000000
library/gemma4	gemma4:e4b-it-bf16	BF16	16041352576	24000000
library/gemma4	gemma4:e4b-it-q8_0	Q8_0	11636104608	24000000
library/gemma4	gemma4:e4b-it-qat	Q4_0	5154939136	24000000
library/qwen2.5-coder	qwen2.5-coder:0.5b	Q4_K_M	397808000	20900000
library/qwen2.5-coder	qwen2.5-coder:0.5b-base-q2_K	Q2_K	338607328	20900000
library/qwen2.5-coder	qwen2.5-coder:0.5b-base-q3_K_L	Q3_K_L	369358048	20900000
library/qwen2.5-coder	qwen2.5-coder:0.5b-base-q3_K_M	Q3_K_M	355466464	20900000
library/qwen2.5-coder	qwen2.5-coder:0.5b-base-q3_K_S	Q3_K_S	338263264	20900000
library/qwen2.5-coder	qwen2.5-coder:0.5b-base-q4_0	Q4_0	352154848	20900000
library/qwen2.5-coder	qwen2.5-coder:0.5b-base-q4_1	Q4_1	374519008	20900000
library/qwen2.5-coder	qwen2.5-coder:0.5b-base-q4_K_M	Q4_K_M	397807840	20900000
library/qwen2.5-coder	qwen2.5-coder:0.5b-base-q4_K_S	Q4_K_S	385471712	20900000
library/qwen2.5-coder	qwen2.5-coder:0.5b-base-q5_0	Q5_0	396883168	20900000
library/qwen2.5-coder	qwen2.5-coder:0.5b-base-q5_K_S	Q5_K_S	412710112	20900000
library/qwen2.5-coder	qwen2.5-coder:0.5b-instruct-q2_K	Q2_K	338607488	20900000
library/qwen2.5-coder	qwen2.5-coder:0.5b-instruct-q3_K_L	Q3_K_L	369358208	20900000
library/qwen2.5-coder	qwen2.5-coder:0.5b-instruct-q3_K_M	Q3_K_M	355466624	20900000
library/qwen2.5-coder	qwen2.5-coder:0.5b-instruct-q3_K_S	Q3_K_S	338263424	20900000
library/qwen2.5-coder	qwen2.5-coder:0.5b-instruct-q4_0	Q4_0	352155008	20900000
library/qwen2.5-coder	qwen2.5-coder:0.5b-instruct-q4_1	Q4_1	374519168	20900000
library/qwen2.5-coder	qwen2.5-coder:0.5b-instruct-q4_K_S	Q4_K_S	385471872	20900000
library/qwen2.5-coder	qwen2.5-coder:0.5b-instruct-q5_0	Q5_0	396883328	20900000
library/qwen2.5-coder	qwen2.5-coder:1.5b	Q4_K_M	986048576	20900000
library/qwen2.5-coder	qwen2.5-coder:14b	Q4_K_M	8988110784	20900000
library/qwen2.5-coder	qwen2.5-coder:32b	Q4_K_M	19851336384	20900000
library/qwen2.5-coder	qwen2.5-coder:3b	Q4_K_M	1929903072	20900000
library/qwen2.5-coder	qwen2.5-coder:7b	Q4_K_M	4683074048	20900000
library/qwen3.5	qwen3.5:0.8b	Q8_0	1036034688	19100000
library/qwen3.5	qwen3.5:0.8b-bf16	BF16	1760105024	19100000
library/qwen3.5	qwen3.5:122b	Q4_K_M	81370024480	19100000
library/qwen3.5	qwen3.5:27b	Q4_K_M	17420420832	19100000
library/qwen3.5	qwen3.5:27b-bf16	BF16	55581030080	19100000
library/qwen3.5	qwen3.5:27b-q8_0	Q8_0	29970380512	19100000
library/qwen3.5	qwen3.5:2b	Q8_0	2741180928	19100000
library/qwen3.5	qwen3.5:2b-bf16	BF16	4561893824	19100000
library/qwen3.5	qwen3.5:2b-q4_K_M	Q4_K_M	1945311744	19100000
library/qwen3.5	qwen3.5:35b	Q4_K_M	23869179840	19100000
library/qwen3.5	qwen3.5:35b-a3b-bf16	BF16	71961864096	19100000
library/qwen3.5	qwen3.5:35b-a3b-q8_0	Q8_0	38697019328	19100000
library/qwen3.5	qwen3.5:4b	Q4_K_M	3389971840	19100000
library/qwen3.5	qwen3.5:4b-bf16	BF16	9334322528	19100000
library/qwen3.5	qwen3.5:4b-q8_0	Q8_0	5279282560	19100000
library/qwen3.5	qwen3.5:9b	Q4_K_M	6594462816	19100000
library/qwen3.5	qwen3.5:9b-bf16	BF16	19321177152	19100000
library/qwen3.5	qwen3.5:9b-q8_0	Q8_0	10699916384	19100000
library/phi3	phi3:14b	Q4_0	7897125664	18100000
library/phi3	phi3:3.8b	Q4_0	2176177120	18100000
library/phi3	phi3:3.8b-mini-128k-instruct-q2_K	Q2_K	1416204256	18100000
library/phi3	phi3:3.8b-mini-128k-instruct-q3_K_L	Q3_K_L	2087597536	18100000
library/phi3	phi3:3.8b-mini-128k-instruct-q3_K_M	Q3_K_M	1955476960	18100000
library/phi3	phi3:3.8b-mini-128k-instruct-q3_K_S	Q3_K_S	1681798624	18100000
library/phi3	phi3:3.8b-mini-128k-instruct-q4_1	Q4_1	2408825824	18100000
library/phi3	phi3:3.8b-mini-128k-instruct-q4_K_M	Q4_K_M	2393232352	18100000
library/phi3	phi3:3.8b-mini-128k-instruct-q4_K_S	Q4_K_S	2188760032	18100000
library/phi3	phi3:3.8b-mini-128k-instruct-q5_0	Q5_0	2641474528	18100000
library/phi3	phi3:3.8b-mini-128k-instruct-q5_K_M	Q5_K_M	2815276000	18100000
library/phi3	phi3:3.8b-mini-128k-instruct-q5_K_S	Q5_K_S	2641474528	18100000
library/phi3	phi3:3.8b-mini-4k-instruct-q2_K	Q2_K	1416203712	18100000
library/phi3	phi3:3.8b-mini-4k-instruct-q3_K_L	Q3_K_L	2087596992	18100000
library/phi3	phi3:3.8b-mini-4k-instruct-q3_K_M	Q3_K_M	1955476416	18100000
library/phi3	phi3:3.8b-mini-4k-instruct-q3_K_S	Q3_K_S	1681798080	18100000
library/phi3	phi3:3.8b-mini-4k-instruct-q4_0	Q4_0	2176176576	18100000
library/phi3	phi3:3.8b-mini-4k-instruct-q4_1	Q4_1	2408825280	18100000
library/phi3	phi3:3.8b-mini-4k-instruct-q4_K_S	Q4_K_S	2188759488	18100000
library/phi3	phi3:3.8b-mini-4k-instruct-q5_0	Q5_0	2641473984	18100000
library/phi3	phi3:3.8b-mini-4k-instruct-q5_1	Q5_1	2874122688	18100000
library/phi3	phi3:3.8b-mini-4k-instruct-q5_K_M	Q5_K_M	2815275456	18100000
library/phi3	phi3:3.8b-mini-4k-instruct-q5_K_S	Q5_K_S	2641473984	18100000
library/phi3	phi3:mini-4k	Q4_K_M	2393231808	18100000
library/llava	llava:13b	Q4_0	7365834752	14800000
library/llava	llava:34b	Q4_0	19466529024	14800000
library/llava	llava:7b	Q4_0	4108916992	14800000
library/llava	llava:7b-v1.5-q2_K	Q2_K	2825940768	14800000
library/llava	llava:7b-v1.5-q3_K_L	Q3_K_L	3597111072	14800000
library/llava	llava:7b-v1.5-q3_K_M	Q3_K_M	3298004768	14800000
library/llava	llava:7b-v1.5-q3_K_S	Q3_K_S	2948304672	14800000
library/llava	llava:7b-v1.5-q4_0	Q4_0	3825807136	14800000
library/llava	llava:7b-v1.5-q4_1	Q4_1	4238749472	14800000
library/llava	llava:7b-v1.5-q4_K_M	Q4_K_M	4081004320	14800000
library/llava	llava:7b-v1.5-q4_K_S	Q4_K_S	3856740128	14800000
library/llava	llava:7b-v1.6-mistral-q2_K	Q2_K	2719242496	14800000
library/llava	llava:7b-v1.6-mistral-q3_K_L	Q3_K_L	3822024960	14800000
library/llava	llava:7b-v1.6-mistral-q3_K_M	Q3_K_M	3518986496	14800000
