library/bge-m3	bge-m3:567m	F16	1157671200	6300000
library/codegeex4	codegeex4:9b-all-q2_K	Q2_K	3991897216	688200
library/codegeex4	codegeex4:9b-all-q3_K_S	Q3_K_S	4587422848	688200
library/codegeex4	codegeex4:9b-all-q3_K_M	Q3_K_M	5064328320	688200
library/codegeex4	codegeex4:9b-all-q3_K_L	Q3_K_L	5281449088	688200
library/codegeex4	codegeex4:9b	Q4_0	5455316096	688200
library/codegeex4	codegeex4:9b-all-q4_K_S	Q4_K_S	5753341056	688200
library/codegeex4	codegeex4:9b-all-q4_1	Q4_1	6003983488	688200
library/codegeex4	codegeex4:9b-all-q4_K_M	Q4_K_M	6250923136	688200
library/codegeex4	codegeex4:9b-all-q5_0	Q5_0	6552650880	688200
library/codegeex4	codegeex4:9b-all-q5_K_S	Q5_K_S	6692897920	688200
library/codegeex4	codegeex4:9b-all-q5_1	Q5_1	7101318272	688200
library/codegeex4	codegeex4:9b-all-q5_K_M	Q5_K_M	7143785600	688200
library/codegeex4	codegeex4:9b-all-q6_K	Q6_K	8262026368	688200
library/codegeex4	codegeex4:9b-all-q8_0	Q8_0	9994994816	688200
library/codegeex4	codegeex4:9b-all-fp16	F16	18806965376	688200
library/codegemma	codegemma:2b-code-q2_K	Q2_K	1157924160	3200000
library/codegemma	codegemma:2b-code-v1.1-q2_K	Q2_K	1157924160	3200000
library/codegemma	codegemma:2b-code-q3_K_S	Q3_K_S	1287980352	3200000
library/codegemma	codegemma:2b-code-v1.1-q3_K_S	Q3_K_S	1287980352	3200000
library/codegemma	codegemma:2b-code-q3_K_M	Q3_K_M	1383802176	3200000
library/codegemma	codegemma:2b-code-v1.1-q3_K_M	Q3_K_M	1383802176	3200000
library/codegemma	codegemma:2b-code-q3_K_L	Q3_K_L	1465591104	3200000
library/codegemma	codegemma:2b-code-v1.1-q3_K_L	Q3_K_L	1465591104	3200000
library/codegemma	codegemma:2b	Q4_0	1551189312	3200000
